Rank,Book,Author(s),Original language,First published,Approximate sales,Genre
74,Catching Fire,Suzanne Collins,English,2009,21 million in US,"Young Adult novel, adventure, dystopian, science fiction"
75,Mockingjay,Suzanne Collins,English,2010,20 million in US,"Young Adult novel, adventure, war, science fiction, action thriller"
76,Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20 million,Japanese novel
77,Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20 million,Science fiction novel
78,Gone Girl,Gillian Flynn,English,2012,20 million,Crime thriller novel
79,The Bermuda Triangle,Charles Berlitz,English,1974,20 million,
80,Things Fall Apart,Chinua Achebe,English,1958,20 million,Novel
81,Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20 million,Semi-autobiographical novel
82,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20 million,Memoir
83,Jaws,Peter Benchley,English,1974,20 million,Thriller
84,Love You Forever,Robert Munsch,English,1986,20 million,"Children's literature, picture book, fiction"
85,The Women's Room,Marilyn French,English,1977,20 million,Feminist novel
86,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20 million,Pregnancy guide
87,Adventures of Huckleberry Finn,Mark Twain,English,1885,20 million,"Picaresque novel, Bildungsroman, satire, Robinsonade"
88,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20 million,Young adult novel
89,Pride and Prejudice,Jane Austen,English,1813,20 million,"Classic regency novel, romance"
90,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20 million,Travel literature
91,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20 million (printed),Unfinished satirical dark comedy novel
92,Where the Wild Things Are,Maurice Sendak,English,1963,20 million,Children's picture book
93,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20 million,Self-help
94,The Secret,Rhonda Byrne,English,2006,20 million,Self-help
95,Fear of Flying,Erica Jong,English,1973,20 million,Romantic novel
96,Dune,Frank Herbert,English,1965,20 million,Science fiction novel
97,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20 million,Children's fantasy novel
